Year,Group,Value
2015,,9224.0
2016,,6553.0
2017,,8036.0
2018,,5785.0
2019,,6148.0
2020,,2827.0
2015,Armed Forces of Ukraine,1317.0
2016,Armed Forces of Ukraine,744.0
2017,Armed Forces of Ukraine,1178.0
2018,Armed Forces of Ukraine,425.0
2019,Armed Forces of Ukraine,987.0
2020,Armed Forces of Ukraine,531.0
2015,State Special Transport Service,87.0
2016,State Special Transport Service,365.0
2017,State Special Transport Service,57.0
2018,State Special Transport Service,43.0
2019,State Special Transport Service,151.0
2020,State Special Transport Service,22.0
2015,State Emergency Service,7820.0
2016,State Emergency Service,5440.0
2017,State Emergency Service,6670.0
2018,State Emergency Service,5070.0
2019,State Emergency Service,4845.0
2020,State Emergency Service,2274.0
2015,non-governmental international organizations (The Halo Trust. DDG. FSD),
2016,non-governmental international organizations (The Halo Trust. DDG. FSD),
2017,non-governmental international organizations (The Halo Trust. DDG. FSD),131.0
2018,non-governmental international organizations (The Halo Trust. DDG. FSD),247.0
2019,non-governmental international organizations (The Halo Trust. DDG. FSD),165.0
2020,non-governmental international organizations (The Halo Trust. DDG. FSD),216.3
